time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,aspect_RS,BS_RS,CO2_RS,elevation_RS,LST_RS,LST-Tair_RS,Landcover_RS,month_RS,NDVI_RS,NDVI_anom_RS,NPV_RS,PV_RS,soil_moisture_RS,VegH_RS,WCF_RS,rain_RS,rain_anom_RS,rain_cml12_RS,rain_cml12_anom_RS,rain_cml3_RS,rain_cml3_anom_RS,rain_cml6_RS,rain_cml6_anom_RS,srad_RS,srad_anom_RS,tavg_RS,tavg_anom_RS,vpd_RS,x_coord,y_coord
2007-11-15,10.27638277207432,150.2977769270222,160.57415969909653,113.03291577771888,28.14973575055654,0.24148798640033722,73.22603185145591,136.2,154.46929428092974,106.99751626242711,42.472136440159,232.05174416737034,422.7056181493133,378.9120727307873,10.475090549013968,84.65793,11.607118,381.762,67.5073,307.95703,4.9129715,30,11.0,0.47823244,1.1180575,49.7094,38.672283,,2.0356627,9.365512,166.78157,1.1146442,1729.5026,1.1311595,227.50348,1.0149264,231.66101,1.0129554,23.211626,0.9958212,29.894066,0.9923159,18.899115,131.1178,-13.0769
2007-12-15,-39.053319697903255,234.7620593138177,195.70873961591445,135.41512656351782,27.874636545698927,0.30035526864919354,77.27328575278554,282.4,166.23447034699058,124.0496395371294,38.73541698993641,233.50570098022646,430.7803999327957,374.2962624426177,8.7464347165606,84.65793,11.607118,381.715,67.5073,307.67258,5.1987057,30,12.0,0.5690651,1.115107,49.7094,38.672283,,2.0356627,9.365512,377.3939,1.3698747,1854.2024,1.2099872,597.6566,1.2286823,608.2864,1.205491,21.716152,0.98330665,29.323877,0.99885595,14.683597,131.1178,-13.0769
2008-01-15,-22.595073694595758,217.54399448314746,194.9489207885517,136.94047917632437,27.613581525537636,0.30238056239919353,78.6126583319716,328.4,156.26372880010555,125.4469682299244,39.73051928546766,224.7389470369806,429.0711059811828,364.55338353138126,8.103143431962236,84.65793,21.124645,381.779,67.5073,304.5793,2.7738876,30,1.0,0.62786657,1.0686406,48.394688,28.523983,,2.0356627,8.90063,300.6448,0.81974167,1900.2408,1.2409997,844.8203,1.0731078,908.48645,1.0507846,20.891626,1.0321047,28.655434,1.0006895,12.027141,131.1178,-13.0769
2008-02-15,12.220016155290065,164.48212354565354,176.7021397009436,106.08418842334189,26.655447971997436,0.31471050832272374,83.08137833330144,680.5999999999999,127.39262920401991,103.88256893179742,30.308454528218743,173.01080000459243,434.56190576931095,376.5831851383203,6.05077587746897,84.65793,21.124645,381.858,67.5073,308.22894,7.2766705,30,2.0,0.6265754,1.0085309,48.394688,28.523983,,2.0356627,8.90063,517.1048,1.70024,2108.7498,1.376956,1195.1436,1.2668686,1422.647,1.218787,17.996914,0.883276,27.802279,0.97901464,7.9978523,131.1178,-13.0769
2008-03-15,-0.4714959747531742,173.61445887619308,173.1429629014399,140.07011859153783,27.20242762846218,0.29182678758053326,76.60212970409127,277.6,180.78588297983546,128.31393480294102,47.20348508781681,251.418217863454,426.59046187685624,376.37617064255863,8.648542370855388,84.65793,21.124645,381.864,67.5073,304.29285,2.7772083,30,3.0,0.6615496,1.0351248,48.394688,28.523983,,2.0356627,8.90063,335.3634,1.3579835,1780.0582,1.1653926,1153.113,1.25912,1750.7697,1.254101,20.277048,0.9629341,28.365644,0.9910052,13.478683,131.1178,-13.0769
2008-04-15,-22.370845231075464,150.71829006373594,128.34744483266047,119.74697860356828,26.606947914934658,0.22948736206543474,53.922565460481685,10.4,156.51916503442473,113.35308128924197,50.0971583786564,277.0869389622084,379.3672992949455,375.81617302751727,16.430927249630447,84.65793,21.124645,381.959,67.5073,306.1276,6.403204,30,4.0,0.60078925,1.0151808,48.394688,28.523983,,2.0356627,8.90063,41.900463,0.45132166,1817.1387,1.1886784,894.36865,1.3886535,1739.189,1.2150948,24.362724,1.1114424,26.574396,0.94425195,22.726334,131.1178,-13.0769
2008-05-15,-2.338082491118916,86.95143274009084,84.61335024897193,60.734876686224304,25.511034879032255,0.15125496014784948,42.19969140352172,0.0,109.21416304092136,55.63735567402925,62.408177407615746,238.80463093205037,362.49305705645156,362.29107273938905,19.286105779833964,84.65793,21.124645,382.227,67.5073,307.9592,10.016542,30,5.0,0.4513937,0.9216311,48.394688,28.523983,,2.0356627,8.90063,0.0,0.0,1804.0684,1.1801989,377.26385,1.0571105,1572.4075,1.2092967,21.781366,1.0733328,24.792662,0.94164854,24.631996,131.1178,-13.0769
2008-06-15,7.718330808172038,54.361557209337036,62.079888017509084,26.01650207065095,25.173829472222224,0.13167190243055554,43.531987776960825,0.0,94.76511398129446,24.627349336631628,63.78915441075385,214.779842868725,371.3068273611111,354.33912252108115,18.458412937983404,84.65793,21.124645,382.727,67.5073,309.47293,11.608755,30,6.0,0.35716164,0.8668959,48.394688,28.523983,,2.0356627,8.90063,0.0,0.0,1803.2998,1.1796358,41.900463,0.37407866,1195.0135,1.1626699,19.425522,1.0031383,24.714182,1.011519,23.29379,131.1178,-13.0769
2008-07-15,-17.54841851304849,70.23710894052226,52.68869042747376,36.60471471723483,24.377744845430104,0.124777528484543,37.462393915394586,0.0,92.8658134586223,33.53245520841076,62.09161062046704,231.28948321856856,353.97118172043014,350.1580804395046,19.471000065942537,84.65793,21.124645,383.07,67.5073,308.67767,12.124376,30,7.0,0.3482281,0.9468033,48.394688,28.523983,,2.0356627,8.90063,0.33890438,0.11299059,1803.1941,1.1793965,0.33890438,0.016712487,894.7076,1.346776,20.614,1.032856,23.403303,0.97175676,24.911903,131.1178,-13.0769
2008-08-15,-36.31221953010018,84.83155163045754,48.519332100357374,42.22220350373232,25.694752190860214,0.11959974403561828,36.35049231779944,0.0,110.98900315599462,38.67846420129839,67.33553820928769,248.1123580166801,369.6396162634409,359.0193781774796,21.476433374117224,84.65793,21.124645,383.432,67.5073,311.40262,13.094849,30,8.0,0.32234353,0.96417403,48.394688,28.523983,,2.0356627,8.90063,0.0,0.0,1800.2498,1.1776443,0.33890438,0.07463978,377.60275,1.0447676,22.301355,1.0044838,25.157776,0.9926948,27.415867,131.1178,-13.0769
2008-09-15,-10.184118728130183,75.89617217456643,65.71205344643624,52.74242156203417,28.260677368055557,0.12399583168055554,57.41816159425604,5.2,132.75040055707638,49.926236707024316,74.43965201791457,258.4599129817986,402.0674360416666,372.4844860933224,16.77063295462485,84.65793,21.124645,383.836,67.5073,314.6315,12.695599,30,9.0,0.32372957,0.9757514,48.394688,28.523983,,2.0356627,8.90063,9.5310545,0.576521,1802.54,1.181048,9.869959,0.54303575,51.770424,0.3976672,23.942842,1.0068982,28.785908,1.0146507,27.694698,131.1178,-13.0769
2008-10-15,-3.701053778457705,99.686235600739,95.98518182228129,76.4369748957583,29.7526913844086,0.14038014038978494,56.613531562453325,113.60000000000001,156.3798026679906,70.02156571245243,79.66033570920237,281.2729219853293,413.9837229838709,384.8366675144864,18.67266924848279,84.65793,21.124645,383.796,67.5073,315.4074,11.61541,30,10.0,0.32858416,0.90373576,48.394688,28.523983,,2.0356627,8.90063,65.83578,1.0757625,1814.8947,1.1876807,75.36683,0.9851685,75.705734,0.7822458,25.139727,1.0334889,30.642006,1.0168875,29.414532,131.1178,-13.0769
2008-11-15,11.495044001418359,100.66433274330102,112.15937674471938,102.1887484002174,28.905702645833333,0.17575636366319444,68.26127759567167,67.2,152.24808457165275,96.73237387144036,55.56644302009703,243.15292990132642,427.9863877083333,387.83994844116404,12.990240008504367,84.65793,21.124645,383.643,67.5073,314.28174,10.586479,30,11.0,0.34441572,0.80520797,48.394688,28.523983,,2.0356627,8.90063,157.59511,1.0532486,1805.7083,1.1810008,232.96194,1.0392774,233.30084,1.0201257,23.267807,0.9982314,30.545265,1.0139321,21.045828,131.1178,-13.0769
2008-12-15,-36.56441805514138,188.1267175047886,151.56229944964724,122.40646238659848,27.543739744623654,0.2610196097782258,77.77954028979951,311.0,146.73737789822783,112.13280171436605,24.893572037751518,208.6961413905665,433.06265235215056,384.4476829594937,8.383572521040794,84.65793,21.124645,383.72,67.5073,308.2522,6.279701,30,12.0,0.5027563,0.98517215,48.394688,28.523983,,2.0356627,8.90063,375.5572,1.3632078,1803.8716,1.1771431,598.98804,1.2314196,608.85803,1.2066238,20.691795,0.9369238,28.822502,0.98177767,12.208088,131.1178,-13.0769
2009-01-15,-82.25977967145135,240.17383547810806,157.91405580665668,141.93020587528895,27.266882224289446,0.2775294745030796,80.31350162334104,421.0,160.81858506579957,130.01790364979428,23.424400361271545,218.52446763542653,434.3998308113816,378.7210906098037,7.30498142961389,84.65793,13.983662,383.962,67.5073,305.6078,3.918459,30,1.0,0.6663749,1.1341825,52.370945,30.388079,,2.0356627,5.5679765,280.7385,0.7654649,1783.9653,1.1650631,813.89075,1.0338205,889.2577,1.028544,19.12966,0.94505864,28.539335,0.9966352,10.3522835,131.1178,-13.0769
2009-02-15,-100.31421615712841,240.2091488560625,139.89493269893416,113.77621913916718,26.505893255204146,0.2919302916656076,82.6520018245929,510.4,145.45046557505668,115.39406881607994,20.276145458472538,194.13785939637006,434.9453684076343,374.5960739104624,6.148523690305381,84.65793,13.983662,383.924,67.5073,306.10873,5.0149345,30,2.0,0.66493595,1.0702757,52.370945,30.388079,,2.0356627,5.5679765,417.08426,1.3713726,1683.9446,1.0995698,1073.3799,1.1377974,1306.3419,1.119148,18.162514,0.89140356,27.943806,0.9839983,8.286381,131.1178,-13.0769
