time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,aspect_RS,BS_RS,CO2_RS,elevation_RS,LST_RS,LST-Tair_RS,Landcover_RS,month_RS,NDVI_RS,NDVI_anom_RS,NPV_RS,PV_RS,soil_moisture_RS,VegH_RS,WCF_RS,rain_RS,rain_anom_RS,rain_cml12_RS,rain_cml12_anom_RS,rain_cml3_RS,rain_cml3_anom_RS,rain_cml6_RS,rain_cml6_anom_RS,srad_RS,srad_anom_RS,tavg_RS,tavg_anom_RS,vpd_RS,x_coord,y_coord
2017-09-15,38.51266417961759,30.74678954919756,69.25945372881515,61.302807797791445,12.045486257642894,0.10442353064930555,72.142940638118,95.6,91.20428159564291,58.02954059130443,38.46654632965183,176.82691378857893,316.63977828990846,403.2282154329078,3.9403797177531192,340.57574,8.586593,403.611,195.51875,288.1803,2.49397,10,9.0,0.6284032,1.0626885,35.841366,55.81451,0.12878014,8.162429,43.915146,71.94254,0.7983324,724.6037,0.9544664,433.28513,1.2400244,527.01196,0.86208093,16.52508,1.0109808,12.536334,1.0100795,6.3686132,116.237,-33.42
2017-10-15,23.332532515742237,48.016853997949994,71.34938651369222,68.94200302991861,13.982247431756806,0.10433417078629031,65.89943995340002,51.599999999999994,134.98543430072684,63.15565211850667,63.87295049960742,235.0002049738449,323.1386593284969,389.320118161087,5.484351477629296,340.57574,8.586593,403.737,195.51875,295.38257,7.7070675,10,10.0,0.5847643,1.0691516,35.841366,55.81451,0.11308068,8.162429,43.915146,47.02973,1.0520983,714.37354,0.94128424,296.33826,1.170996,573.70715,0.9305904,20.747313,0.9662664,14.525507,1.002359,9.387222,116.237,-33.42
2017-11-15,-20.43658944634986,117.55276501898928,97.11617557263943,60.24817705708251,18.59168049861111,0.060673715826388884,55.028767246321344,17.4,173.1867252185158,57.03122192409631,88.91672948774368,303.80081692719915,334.50818460911967,385.7053602058385,9.750539789192809,340.57574,8.586593,403.847,195.51875,301.29132,8.642189,10,11.0,0.5496098,1.078362,35.841366,55.81451,0.07878909,8.162429,43.915146,7.0825944,0.22022489,715.99585,0.94558454,126.05487,0.75984,502.0166,0.91331875,25.978693,1.0392829,19.499138,1.1046515,16.92494,116.237,-33.42
2017-12-15,-24.96322637440744,128.5670682314044,103.60384185699694,82.237862740337,19.597557956317203,0.04451121091061828,54.03366096714801,45.0,196.8576645372003,75.33558095119878,92.07179179921171,339.1036343981207,334.11940342345974,381.6594765523392,10.624301294791978,340.57574,8.586593,403.856,195.51875,305.12302,11.5712185,10,12.0,0.53475773,1.0956526,35.841366,55.81451,0.08902464,8.162429,43.915146,30.678698,2.0110743,716.383,0.9463087,84.79102,0.9332024,518.0761,1.1767054,27.962711,0.99147975,20.401804,1.0098373,19.622915,116.237,-33.42
2018-01-15,-15.498159187820645,132.8368562296016,117.33869704178095,77.47889516229077,20.499880898459107,0.04214440385914707,54.944467615571824,21.8,192.45781051861434,70.97603687656682,102.51191352989511,335.6572008207773,339.4541940404155,386.5146984667597,11.024393044393184,340.57574,9.807585,403.9,195.51875,304.04846,8.993824,10,1.0,0.5423139,1.1281546,34.12303,54.622044,0.082088806,8.162429,48.707436,54.740974,2.7632146,769.6398,1.0094333,92.502266,1.351578,388.8405,1.2045449,27.447298,0.98105985,21.904644,0.9846157,19.223545,116.237,-33.42
2018-02-15,-24.07567359871749,133.48512360917528,109.40945001045777,49.55233975519377,20.25455230654762,0.022690813500744048,57.52557323186178,0.2,160.03576781932384,50.25695305197728,90.03576285983415,287.91479400474157,346.35304759761544,370.1702580786073,10.233426029411016,340.57574,9.807585,403.956,195.51875,302.09482,7.341631,10,2.0,0.5527908,1.1403638,34.12303,54.622044,0.071023904,8.162429,48.707436,3.351836,0.24753313,688.3776,0.90303993,88.77151,1.7957529,214.82639,0.9863187,24.846006,1.001808,21.603193,0.96387225,17.228333,116.237,-33.42
2018-03-15,-11.183605045495458,115.09117631330308,103.90757126780761,36.54421601452499,19.696521889784947,0.016255097392473116,59.16732231798996,11.399999999999999,119.6460514852578,33.4770342044648,71.08277786098098,229.26988953768804,349.22160136260504,383.2577641788092,9.497074534922373,340.57574,9.807585,404.032,195.51875,299.78998,5.888254,10,3.0,0.5733905,1.1293194,34.12303,54.622044,0.07407312,8.162429,48.707436,6.343215,0.30575666,676.23895,0.8871207,64.43603,1.1749119,149.22705,1.0093393,19.598005,0.98662555,20.75173,1.0224227,15.579312,116.237,-33.42
2018-04-15,15.00512815210631,75.26378070646791,90.26890885857422,31.432459376721113,16.452101869444444,0.033438404718749995,68.52693750026721,40.8,69.85501334798474,29.754121268025816,39.29691218212981,158.0044639591524,337.0770964785768,401.1655428043188,5.947430393822483,340.57574,9.807585,404.286,195.51875,293.55096,3.5989513,10,4.0,0.6268936,1.1585648,34.12303,54.622044,0.089559495,8.162429,48.707436,30.00348,0.7597505,705.9079,0.92671335,39.698532,0.5364899,132.2008,0.92813534,14.650482,1.002189,16.80202,0.9997062,9.507564,116.237,-33.42
2018-05-15,14.895052905209964,72.53738482607864,87.43243773128859,32.96661943098254,14.65792848185484,0.04259064776209678,61.27807954625912,80.20000000000002,38.96101625245949,30.199707824021345,17.89513627407555,132.86397784167536,314.1805014208434,400.85014877863784,6.510246066872759,340.57574,9.807585,404.532,195.51875,290.57742,3.6282024,10,5.0,0.6443017,1.1077654,34.12303,54.622044,0.105329245,8.162429,48.707436,66.58675,0.6786099,693.7215,0.9113428,102.93344,0.65105295,191.70496,0.9237139,11.979176,1.1134696,13.799227,1.0267739,8.628494,116.237,-33.42
2018-06-15,16.49798721523534,50.13619658919963,66.63418380443497,39.20272489840866,11.086963510416666,0.10856330269097222,78.31601701774889,111.80000000000001,27.33835968977743,37.109492982536835,2.0947089352912402,95.22780390201082,316.2408348734999,408.7499576092519,2.8764971264395047,340.57574,9.807585,404.807,195.51875,286.0769,2.023529,10,6.0,0.69817203,1.1275219,34.12303,54.622044,0.18045737,8.162429,48.707436,126.2887,1.0092081,805.391,1.0597166,222.87892,0.8509794,287.31494,0.9070659,8.806663,1.0013679,10.903381,0.96623355,3.796487,116.237,-33.42
