time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,VegH_EC,aspect_RS,BS_RS,CO2_RS,elevation_RS,LST_RS,LST-Tair_RS,Landcover_RS,month_RS,NDVI_RS,NDVI_anom_RS,NPV_RS,PV_RS,soil_moisture_RS,VegH_RS,WCF_RS,rain_RS,rain_anom_RS,rain_cml12_RS,rain_cml12_anom_RS,rain_cml3_RS,rain_cml3_anom_RS,rain_cml6_RS,rain_cml6_anom_RS,srad_RS,srad_anom_RS,tavg_RS,tavg_anom_RS,vpd_RS,x_coord,y_coord
2011-07-15,-13.73789377770193,44.432268844797335,30.69437506709541,24.55822538035587,13.702073446996325,0.1114521366504211,60.386055871162874,25.200000000000003,72.41954726274423,22.49703621312768,38.89352554096129,180.2511938300776,308.3081748797042,391.3905978741019,6.254491687921286,,81.13884,24.735756,388.2,170.29643,295.06985,7.619486,40,7.0,0.5468165,1.4399818,38.500195,27.409035,,1.249054,18.763428,12.986952,0.5581444,1306.7292,2.2242947,66.7006,0.76349086,371.58667,1.4352553,15.287992,1.0541376,14.300375,0.9131383,11.287004,148.4746,-23.85872
2011-08-15,-32.83996217593015,65.46962344556941,32.62966126963925,29.575508617620706,16.65448026577801,0.08568397062748907,57.28186462262739,0.0,92.89039340447945,27.09321533161371,48.90250400644031,207.62788152407282,327.7875925517864,390.06468259442374,8.17876355403362,,81.13884,24.735756,388.636,170.29643,299.0593,8.754406,40,8.0,0.5141542,1.3911476,38.500195,27.409035,,1.249054,18.763428,2.171315,0.119046405,1245.834,2.1182463,28.011591,0.4088458,351.48898,1.8001609,17.814484,1.0147921,17.154896,0.9952483,13.619529,148.4746,-23.85872
2011-09-15,-7.79652498265582,42.101359964964544,34.304834982308726,22.869093417202542,19.119042804166668,0.07094901340451389,49.666069399780866,0.4,116.50828768650831,21.64799676251858,66.49448655690695,249.64256328697098,334.1901857638889,390.16268054317106,11.285896254840944,,81.13884,24.735756,389.128,170.29643,303.4741,11.137037,40,9.0,0.39194754,1.1917694,38.500195,27.409035,,1.249054,18.763428,0.32903588,0.012497814,1006.8946,1.7091624,15.487303,0.22659604,154.38133,0.92686653,22.104887,1.0423197,19.18706,0.92020667,17.929855,148.4746,-23.85872
2011-10-15,30.089586366078773,9.886633489678799,39.97621985575757,31.147286393899854,22.832808741935487,0.10326738858366936,52.03830971449129,53.0,131.69629306350248,28.533072691186035,67.68736539571503,249.28345557936177,369.8074038306451,391.7203794639196,13.576306077135218,,81.13884,24.735756,389.262,170.29643,309.55545,13.12323,40,10.0,0.2638582,0.9312946,38.500195,27.409035,,1.249054,18.763428,53.287365,0.97366667,1031.611,1.7436502,55.787716,0.55355275,122.48831,0.65103537,23.982916,1.0026511,23.282227,0.9623791,21.20122,148.4746,-23.85872
2011-11-15,5.815497326401265,36.94395655335782,42.75945387975909,23.8841122148252,26.47081203573517,0.08480020391393459,53.75135040340683,35.0,146.10865075856026,22.608818568786695,78.16748933844688,274.2362666597936,395.1160452667069,390.39045493593454,16.356838763439605,,81.13884,24.735756,389.072,170.29643,317.09915,17.300596,40,11.0,0.24800733,0.8352747,38.500195,27.409035,,1.249054,18.763428,23.36243,0.380962,873.05426,1.4749751,76.978836,0.53782046,104.99042,0.49606863,25.81585,1.0232042,26.648561,1.0201489,23.443,148.4746,-23.85872
2011-12-15,28.268583270595563,19.417101822320962,47.68568509291652,42.5166787690154,25.526841657899656,0.13334967611246606,61.95353686628213,173.79999999999998,162.63728410410707,38.94822394999112,80.90588991720561,267.3737600303486,404.0108141870445,398.17304057495056,12.707099594221427,,81.13884,24.735756,388.942,170.29643,308.9773,9.894142,40,12.0,0.42918676,1.3481096,38.500195,27.409035,,1.249054,18.763428,181.19272,2.1408725,682.4436,1.1520323,257.84253,1.2875915,273.32983,1.0176114,24.358002,0.92531216,25.933159,0.93311906,17.7492,148.4746,-23.85872
2012-01-15,35.65115827413097,10.479986083310557,46.13114435744153,53.648867196834296,26.90058269489247,0.12530335086693548,60.89840785913732,152.8,155.42027044428764,49.14607995600083,73.38796147414703,267.0807268129502,410.7131654569892,384.32676902835726,14.192695089378569,,81.13884,24.410648,388.819,170.29643,313.98566,13.489092,40,1.0,0.35139865,1.068935,42.504696,23.205872,,1.249054,13.671673,173.2754,1.9603126,805.20496,1.3707179,377.83057,1.6288736,433.6183,1.3196697,23.978445,0.9449912,27.346571,0.96122485,19.228527,148.4746,-23.85872
2012-02-15,3.1608241359482383,51.24341108853722,54.40423522448546,69.3822294813302,26.503743749999998,0.1394917900089799,66.23058983220469,91.4,168.64939210666105,67.94230453998712,57.47799462954033,266.4929127823816,411.17284461206896,387.313119504833,11.96708903762452,,81.13884,24.410648,388.79,170.29643,308.46655,8.310999,40,2.0,0.4717432,1.2156771,42.504696,23.205872,,1.249054,13.671673,102.964584,1.2308413,885.9005,1.5147018,457.43274,1.8042845,534.41156,1.3602074,22.31659,0.9531241,27.00556,0.96927184,17.165678,148.4746,-23.85872
2012-03-15,13.200433952029861,38.58594518261937,51.78637913464922,41.27835390669299,24.56850550403226,0.13105306045194892,62.750026760251025,144.5,128.91999667235214,37.813832566256686,54.604051234886754,221.17421063024867,397.64827573924725,388.21075705177185,11.73410805516529,,81.13884,24.410648,388.826,170.29643,305.3166,7.327915,40,3.0,0.47791222,1.1803483,42.504696,23.205872,,1.249054,13.671673,138.94678,2.5349505,827.41064,1.4140128,415.18677,1.8406284,673.0293,1.5927683,20.376205,0.957904,24.83868,0.9383516,16.148914,148.4746,-23.85872
2012-04-15,13.799804079080847,31.95506171156719,45.75486579064804,24.058422012734766,22.050083411805552,0.09565335171180556,56.29582302220572,39.2,110.44095437618752,22.773821084277017,57.8121827350558,214.9910405950625,370.1221804166667,391.11472029705277,11.783932401913695,,81.13884,24.410648,389.0,170.29643,306.5331,11.213709,40,4.0,0.41813144,1.0723385,42.504696,23.205872,,1.249054,13.671673,35.808773,1.0512447,778.039,1.3298151,277.72012,1.6190131,655.5507,1.6246816,19.188951,1.0294441,22.169409,0.95398337,17.495665,148.4746,-23.85872
2012-05-15,27.97771673171242,17.145478977650278,45.123195709362705,19.68217757369732,17.240319769489247,0.12348772994119624,59.99258286278965,3.8,79.9930419341129,18.030238536000503,40.88631824933946,177.1350397817876,338.16067963709673,388.0607493155222,7.954776386873383,,81.13884,24.410648,389.287,170.29643,301.2514,10.354956,40,5.0,0.4038608,1.1045272,42.504696,23.205872,,1.249054,13.671673,42.688633,1.1050746,779.8674,1.3281085,217.44418,1.715666,674.87695,1.7747486,15.581981,1.0322257,17.746454,0.908006,13.140843,148.4746,-23.85872
2012-06-15,13.653748551708167,23.601132288064797,37.254880839772966,21.35802318327299,14.708120652083332,0.1445360157638889,69.43894487431791,33.0,67.91242308722292,20.217610217005635,30.439447888283905,140.98847894644445,338.61362743055554,384.69629283193854,5.155101223658231,,81.13884,24.410648,389.712,170.29643,294.64453,6.093768,40,6.0,0.4498863,1.2016165,42.504696,23.205872,,1.249054,13.671673,51.873203,1.8851027,818.88727,1.395472,130.3706,1.3274003,545.5574,1.6849477,12.880866,0.9434844,15.400769,0.9428269,8.210354,148.4746,-23.85872
2012-07-15,5.316206798685548,32.12629953812649,37.44250633681203,30.139197207305557,13.669793498655913,0.1640881108702957,68.72812866557253,48.400000000000006,80.58263226205845,27.6095931406231,24.84034494764149,158.97116942792474,329.0233065188172,381.65459272295897,4.926889270844452,,81.13884,24.410648,390.378,170.29643,292.48303,4.4871664,40,7.0,0.5401085,1.422317,42.504696,23.205872,,1.249054,13.671673,44.906654,1.9299676,850.807,1.4482307,139.46849,1.5964311,417.1886,1.611393,13.6090355,0.9383702,14.845872,0.9479705,8.8485365,148.4746,-23.85872
2012-08-15,-53.572156811893024,83.60229965138515,30.030142839492132,40.297468296307514,16.005116707190858,0.14857088373655913,52.65366027132846,20.8,105.83305288217743,36.915273376575605,35.993077851754876,210.50016980941132,327.03699744623657,377.77893745392987,8.691451741339167,,81.13884,24.410648,391.05,170.29643,298.21927,8.811562,40,8.0,0.52800053,1.4286118,42.504696,23.205872,,1.249054,13.671673,11.724825,0.6428355,860.36053,1.4628398,108.504684,1.5836904,325.94885,1.6693563,18.393194,1.047758,16.257713,0.9431979,14.547643,148.4746,-23.85872
