time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,VegH_EC,aspect_RS,BS_RS,CO2_RS,elevation_RS,LST_RS,LST-Tair_RS,Landcover_RS,month_RS,NDVI_RS,NDVI_anom_RS,NPV_RS,PV_RS,VegH_RS,WCF_RS,rain_RS,rain_anom_RS,rain_cml12_RS,rain_cml12_anom_RS,rain_cml3_RS,rain_cml3_anom_RS,rain_cml6_RS,rain_cml6_anom_RS,srad_RS,srad_anom_RS,tavg_RS,tavg_anom_RS,vpd_RS,x_coord,y_coord
2011-11-15,-23.413223133971393,130.06018801235,106.64696487837861,73.60449121253104,19.172894962815295,0.055648836720565496,65.510084615682,26.137261941393373,177.35711844569485,69.67437486075085,94.24632754246464,301.94284367663965,343.7522366879951,377.5731889597476,7.759850667956912,6.8,324.80862,12.947222,389.072,48.917706,33.66559,13.431303,10,11.0,0.4026077,0.97697693,51.8073,35.55787,3.7562795,11.197759,30.713284,1.2597605,636.7555,0.9825491,168.05951,1.3016124,522.1416,1.0859817,26.254622,0.97140694,20.234285,1.0101734,16.363993,115.71377,-31.376351
2011-12-15,-31.357989912314864,141.86602509833216,110.50803518601727,87.0550212006784,22.93566015658602,0.045286136440988355,61.34691017837236,29.4,187.10527268019626,79.74843190635622,97.27583593893257,317.63992769689514,363.20645013440856,374.7638685333802,11.01129085464514,6.8,324.80862,12.947222,388.942,48.917706,35.75351,11.657694,10,12.0,0.40816438,1.0347624,51.8073,35.55787,3.7562795,11.197759,48.670258,4.6599035,674.3336,1.0393435,136.08092,1.9876117,458.4123,1.231554,28.98,0.98635894,24.095816,1.0731946,21.986057,115.71377,-31.376351
2012-01-15,-26.214784861145645,128.31497862376193,102.10019376261627,61.35980892087739,25.99191929435484,0.029236591754333803,55.75784576072364,2.2,187.88381781110687,56.209836905714155,119.51453561637013,322.5840465618952,378.85116552419356,371.65230797577556,15.19987951263178,6.8,324.80862,12.411097,388.819,48.917706,37.2984,10.4482765,10,1.0,0.41212434,1.0723982,43.05024,44.662666,3.7562795,26.208157,9.640549,0.583116,674.04816,1.0311066,89.02409,1.800815,333.13116,1.2864683,29.247114,0.9978379,26.850124,1.0914891,26.056345,115.71377,-31.376351
2012-02-15,-15.603356492701938,113.17879722026677,97.57544072756484,61.14564079732692,23.695086918821836,0.030189548367873072,53.112000552658536,44.400000000000006,171.88716067036063,59.87665399917039,98.46846160740839,295.97441006837647,369.61780488505747,376.88025169438754,13.998652060795406,6.8,324.80862,12.411097,388.79,48.917706,33.568176,8.523428,10,2.0,0.4295142,1.1012341,43.05024,44.662666,3.7562795,26.208157,54.033463,3.8272517,720.8326,1.100421,112.34427,2.7840502,280.40378,1.6697009,25.75619,0.97208244,25.044748,1.0019205,20.793982,115.71377,-31.376351
2012-03-15,1.3938956218278395,93.29281118535557,94.68670680718343,35.182399932025184,22.123854215725807,0.026360255421636655,48.82631863616267,0.4,143.25605517794352,32.229516305711236,99.09217306852157,281.2901674132258,345.0793056451613,372.790380664297,13.861468916061135,6.8,324.80862,12.411097,388.826,48.917706,34.27057,10.531332,10,3.0,0.439638,1.0858235,43.05024,44.662666,3.7562795,26.208157,0.3224665,0.019312438,720.5863,1.1001351,63.99648,1.3516123,200.0774,1.7480012,23.48049,1.0662827,23.739237,1.0228438,24.337788,115.71377,-31.376351
2012-04-15,6.339715356808918,75.56138030917725,81.90109566598618,38.07740392450805,17.960591027083336,0.028556344387685447,68.90985849180585,53.39999999999999,97.3200094431382,36.04425859150191,59.63333283427004,181.95201635532916,354.8895561111111,378.15208284884864,6.474373320291894,6.8,324.80862,12.411097,389.0,48.917706,26.426636,6.0958176,10,4.0,0.47092125,1.0738604,43.05024,44.662666,3.7562795,26.208157,39.308647,1.3981303,736.8381,1.1236229,93.66458,1.5894052,182.68866,1.6858478,16.499935,1.0059167,20.330818,1.0233196,14.659388,115.71377,-31.376351
2012-05-15,6.1066279793826554,81.53538743968399,87.64201541906664,43.988284458754194,13.968721412365593,0.04350256113114582,76.09176372838488,34.4,67.45931054002688,40.296316736857555,29.450529080429654,147.68970626054434,329.1497658602151,382.2241012852682,3.8417092366671315,6.8,324.80862,12.411097,389.287,48.917706,20.281921,3.3001595,10,5.0,0.531677,1.1024308,43.05024,44.662666,3.7562795,26.208157,27.382778,0.33353758,701.49976,1.0766621,67.01389,0.52804047,179.35815,1.0723101,12.819631,1.0700915,16.981762,1.0268933,11.255894,115.71377,-31.376351
2012-06-15,19.44587716213102,67.55428214278811,87.00015930491914,34.80856091226316,11.638366839644581,0.052643983789314765,94.25790194127899,147.45703900137326,49.07200360082293,32.94995565367627,12.205621110048234,102.21371617399107,338.15962153164895,378.0401516402834,0.7904157467000636,6.8,324.80862,12.411097,389.712,48.917706,14.395081,-0.25213337,10,6.0,0.5752086,1.0793767,43.05024,44.662666,3.7562795,26.208157,126.793205,1.0652814,715.8934,1.1015157,193.48462,0.84403974,257.4811,0.93093044,9.72049,0.96461856,14.647214,1.0396426,6.5526905,115.71377,-31.376351
2012-07-15,-2.7818496378,92.7978569982,90.01600736040001,43.28324486468862,8.884102021066818,0.05812018175257507,90.01009808970119,74.13708193888343,66.49770893857817,39.650451612903225,22.04600799731183,140.8682626848046,311.425638390104,377.73468544345394,1.1415606425922957,6.8,324.80862,12.411097,390.378,48.917706,14.660645,2.3975925,10,7.0,0.5620735,1.0423161,43.05024,44.662666,3.7562795,26.208157,42.29359,0.3289599,623.2653,0.9624685,196.46957,0.59592426,290.13416,0.74657655,11.949559,1.132435,12.263052,0.9589161,7.3306746,115.71377,-31.376351
2012-08-15,-4.080250319337711,102.3303684723704,98.25011815303267,53.125707422106956,11.92786557420829,0.06419571390339054,87.77641460427846,108.16328579439023,90.64650827632114,48.666829349940876,32.0594677188883,159.9936297849747,330.2400319800918,384.0833837039883,1.7154995264951127,6.8,324.80862,12.411097,391.05,48.917706,16.533722,2.67912,10,8.0,0.5389184,1.0208805,43.05024,44.662666,3.7562795,26.208157,83.20655,0.79933923,599.71106,0.9275814,252.29333,0.7173844,319.30725,0.66717553,13.541992,1.0199348,13.854602,1.0465451,6.263485,115.71377,-31.376351
