time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,VegH_EC,aspect_RS,BS_RS,CO2_RS,elevation_RS,LST_RS,LST-Tair_RS,Landcover_RS,month_RS,NDVI_RS,NDVI_anom_RS,NPV_RS,PV_RS,VegH_RS,WCF_RS,bare_RS,grass_RS,rain_RS,rain_anom_RS,rain_cml12_RS,rain_cml12_anom_RS,rain_cml3_RS,rain_cml3_anom_RS,rain_cml6_RS,rain_cml6_anom_RS,srad_RS,srad_anom_RS,tavg_RS,tavg_anom_RS,trees_RS,vpd_RS,x_coord,y_coord
2002-02-15,2.88412260568872,168.9713769594108,171.85549956509954,77.88606651428887,14.195960892224921,0.22448382427659808,75.80365088918809,143.0,145.87838899062754,78.99357341247484,56.389691907854825,222.23323458279887,328.54015239452593,338.2148948334122,3.9465765010260485,40.0,22.873524,6.2145214,369.545,1189.4016,20.986511,6.1326933,10,2.0,0.7241015,1.0471427,35.40631,59.103428,16.778366,0.48217332,0.14104867,0.1267839,178.02686,2.471515,1398.6351,0.92711055,278.31223,1.0349478,675.1667,0.9870707,19.66015,0.8681554,14.853818,0.8925619,0.7321674,5.6059337,148.1516,-35.6566
2002-03-15,-53.468364989871034,230.53010095004015,177.06173596016913,93.49948368757552,14.288844086021507,0.18003037780613998,64.19011040967791,35.8,85.8550134408602,85.65200611403648,53.79679031356697,241.13755376344085,306.1766115763704,335.739011156778,5.876584611998503,40.0,22.873524,6.2145214,369.6,1189.4016,19.288116,4.909893,10,3.0,0.75117385,1.0660949,35.40631,59.103428,16.778366,0.48217332,0.14104867,0.1267839,61.465076,0.7288203,1366.0083,0.9004091,299.24707,1.2420605,619.3379,1.017462,19.935251,1.0641395,14.378223,1.0267535,0.7321674,8.423541,148.1516,-35.6566
2002-04-15,-44.97837458283945,180.86579348567537,135.88741890283592,56.205904725849614,12.026055555555557,0.18175796516675394,73.8767812081495,20.4,56.64783042572338,53.20478697351258,31.060860083566432,166.04616666666666,299.33098104633586,338.4966614292016,3.690338700070101,40.0,22.873524,6.2145214,369.764,1189.4016,16.175293,4.4213314,10,4.0,0.78108436,1.098305,35.40631,59.103428,16.778366,0.48217332,0.14104867,0.1267839,33.186188,0.38403273,1337.7804,0.8815407,272.6781,1.1231421,457.78305,0.81968576,14.061856,1.0258976,11.753962,1.1890509,0.7321674,5.992361,148.1516,-35.6566
2002-05-15,-37.60537741426591,120.04642100137042,82.4410435871045,32.8793419373446,6.679879032258064,0.20072678186724238,78.17454417611127,101.2,26.130634921087182,30.1197555919462,19.675087706506197,103.91280913978495,281.93820942327477,337.981332742368,2.1431491658504083,40.0,22.873524,6.2145214,370.012,1189.4016,10.713593,4.3778343,10,5.0,0.7873619,1.0742073,35.40631,59.103428,16.778366,0.48217332,0.14104867,0.1267839,94.30967,0.82172793,1396.6919,0.9225271,188.96094,0.6618133,467.27316,0.8427928,9.474406,1.009919,6.335758,0.97532433,0.7321674,3.4817529,148.1516,-35.6566
2002-06-15,-31.50910449216055,94.99467618743302,63.48557169527247,29.347870135918622,3.802834476940912,0.2434327736999357,84.21720802601814,190.8,13.625902770037142,27.78083879841433,16.866340579857493,81.57578506625232,280.8169829914646,338.6466937781217,1.2669126671568602,40.0,22.873524,6.2145214,370.476,1189.4016,4.849457,1.0293884,10,6.0,0.7921191,1.0815674,35.40631,59.103428,16.778366,0.48217332,0.14104867,0.1267839,206.64075,1.3422823,1425.0177,0.94723755,334.1366,0.9408793,633.38367,1.062617,7.6807714,0.96743363,3.8200684,1.1006361,0.7321674,1.9316611,148.1516,-35.6566
2002-07-15,-49.74524150727608,85.72445518899264,35.97921368171656,25.777998609600125,2.8729982206896465,0.24799774241702346,78.34133978920487,148.6,23.08497685395371,23.614433015425206,14.897330229363394,102.95481171603885,264.2027304555734,339.4787849538132,1.6274825825506456,40.0,22.873524,6.2145214,371.05,1189.4016,5.137207,2.2538855,10,7.0,0.76472116,1.0741135,35.40631,59.103428,16.778366,0.48217332,0.14104867,0.1267839,150.63625,0.8301755,1470.0574,0.9815164,451.58667,1.0031507,724.2648,1.0451908,8.627082,1.0777427,2.8833215,1.1597207,0.7321674,2.168126,148.1516,-35.6566
2002-08-15,-49.09783445985151,103.74328253907635,54.64544807922484,33.33647943695093,3.368134503230875,0.24289774372469944,75.62359468949388,59.800000000000004,50.49291529463303,30.538525218975064,38.87967310644427,141.24402882423104,258.9158916971791,337.72603589631683,1.8973588472955876,40.0,22.873524,6.2145214,371.539,1189.4016,7.9832764,4.3066773,10,8.0,0.7335999,1.046407,35.40631,59.103428,16.778366,0.48217332,0.14104867,0.1267839,94.480995,0.506315,1315.8856,0.8822365,451.75797,0.86543083,640.71893,0.793437,12.588327,1.0992303,3.676599,1.0668771,0.7321674,3.2480786,148.1516,-35.6566
2002-09-15,-49.52646108876789,132.4722960414563,82.94583495268841,47.47985727787558,5.55213510378046,0.24067637349798765,72.97476737753678,163.2,84.18870918000825,44.94466736766803,47.95841633456477,181.7956698243986,272.2099336799178,337.88304368274686,2.453383512928433,40.0,22.873524,6.2145214,371.877,1189.4016,11.055206,4.515932,10,9.0,0.69347316,1.0264843,35.40631,59.103428,16.778366,0.48217332,0.14104867,0.1267839,170.47064,1.0675839,1369.0623,0.91786283,415.5879,0.78749335,749.7245,0.8491926,15.151186,1.0114498,6.539274,1.097206,0.7321674,4.5703826,148.1516,-35.6566
2002-10-15,-67.28629854245844,187.05148521881003,119.7651866763516,65.72252377276543,7.295940860215054,0.20636021505376345,61.2891419081755,18.8,126.84733870967743,60.20638602481229,83.39865643823296,244.91728494623658,280.2792944527959,324.8551758043766,3.9667086993701814,40.0,22.873524,6.2145214,372.011,1189.4016,15.78006,6.5683947,10,10.0,0.6604834,1.0061195,35.40631,59.103428,16.778366,0.48217332,0.14104867,0.1267839,30.585762,0.22571453,1204.9071,0.808421,295.53738,0.6134148,747.1241,0.8016707,21.393879,1.0736676,9.211665,1.0486331,0.7321674,7.806512,148.1516,-35.6566
2002-11-15,-124.6330235195102,277.8412741483669,153.20825062885675,64.66498282329152,13.11522222222222,0.14905582589905575,53.16511221288758,22.4,158.12331944444446,61.21219207377626,80.733351670743,287.2275694444444,305.188835477587,330.0353699290961,7.113186676215601,40.0,22.873524,6.2145214,371.896,1189.4016,23.191376,8.102648,10,11.0,0.63607746,0.9731009,35.40631,59.103428,16.778366,0.48217332,0.14104867,0.1267839,29.152819,0.2456538,1149.2405,0.7711484,230.20921,0.5562494,681.9672,0.7287039,25.597546,1.084131,15.088728,1.2422696,0.7321674,13.1123705,148.1516,-35.6566
2002-12-15,-98.26364318736965,273.7047415610959,175.44109837372628,95.32620984126925,13.938330532055327,0.15314516129032257,53.63733726327534,38.4,172.4333328254559,87.32541385399426,78.59816557828857,304.51132580912565,310.5082282856037,344.197351988681,7.434916163817126,40.0,22.873524,6.2145214,371.705,1189.4016,23.353119,7.3555946,10,12.0,0.6630517,0.9947582,35.40631,59.103428,16.778366,0.48217332,0.14104867,0.1267839,43.35331,0.384993,1152.0635,0.77289385,103.09189,0.28106603,518.6798,0.5798389,27.37709,1.0690219,15.997524,1.1013792,0.7321674,14.357946,148.1516,-35.6566
2003-01-15,-56.087957284493456,246.117271731477,190.02931444698353,107.66935543966468,17.046922043010753,0.12072244623655916,47.280465190787275,8.6,162.68734934780923,98.6325905416522,72.21860387076107,302.6146908602151,315.3520534194275,334.31267019137994,10.352575096166921,40.0,22.873524,6.075442,371.675,1189.4016,24.341888,5.6019764,10,1.0,0.6793291,1.020271,39.08035,55.078026,16.778366,0.4559737,0.15043896,0.15710318,17.22711,0.2037231,1109.5353,0.736472,89.73324,0.28423175,385.27063,0.47872126,28.437881,1.104473,18.739912,1.1116619,0.69245785,17.60576,148.1516,-35.6566
2003-02-15,-35.56358031004919,219.7199656326843,184.15638532263515,84.25445817332269,16.536294642857143,0.13211458333333334,61.59075913221167,57.800000000000004,143.28986607142855,85.45252090528463,76.54383537137957,267.3026339285714,330.8723363216624,341.05425651562405,7.297802533826687,40.0,22.873524,6.075442,371.753,1189.4016,24.673737,5.7296352,10,2.0,0.6776958,0.9800343,39.08035,55.078026,16.778366,0.4559737,0.15043896,0.15710318,54.203846,0.75250226,985.71246,0.6533973,114.78427,0.42684335,344.9935,0.5043687,23.50016,1.0377231,18.944101,1.138346,0.69245785,13.658096,148.1516,-35.6566
